,SØK PÅ ADRESSE: tast ctrl + F,,,28.09 DENNE LISTEN BLIR OPPDATERT! GJELDER LERKENDAL BYDEL! Her er et kart du kan se hvordan byen er inndelt :  https://kart.trondheim.kommune.no/map/helse_oms/#10/63.3610/10.5386/topo_graa-helsestasjonsone-bydel,
gatenr,Gatenavn,husnr,bokstav,Helsestasjonstilhørighet,"Alle husnummer tilknyttet
 samme helsestasjon?"
8550,Aaengveien,,,Sentrum,ja
8600,Aasmund Vinjes gate,,,Falkenborg,ja
8610,Aasta Hansteens veg,1,,Blussuvoll,nei
8610,Aasta Hansteens veg,1,A,Blussuvoll,nei
8610,Aasta Hansteens veg,1,B,Blussuvoll,nei
8610,Aasta Hansteens veg,1,C,Blussuvoll,nei
8610,Aasta Hansteens veg,10,,Blussuvoll,nei
8610,Aasta Hansteens veg,11,,Blussuvoll,nei
8610,Aasta Hansteens veg,12,,Blussuvoll,nei
8610,Aasta Hansteens veg,13,,Falkenborg,nei
8610,Aasta Hansteens veg,14,,Falkenborg,nei
8610,Aasta Hansteens veg,15,,Falkenborg,nei
8610,Aasta Hansteens veg,16,A,Falkenborg,nei
8610,Aasta Hansteens veg,16,B,Falkenborg,nei
8610,Aasta Hansteens veg,18,,Falkenborg,nei
8610,Aasta Hansteens veg,18,B,Falkenborg,nei
8610,Aasta Hansteens veg,2,,Blussuvoll,nei
8610,Aasta Hansteens veg,3,,Blussuvoll,nei
8610,Aasta Hansteens veg,3,A,Blussuvoll,nei
8610,Aasta Hansteens veg,4,,Blussuvoll,nei
8610,Aasta Hansteens veg,5,,Blussuvoll,nei
8610,Aasta Hansteens veg,5,A,Blussuvoll,nei
8610,Aasta Hansteens veg,5,B,Blussuvoll,nei
8610,Aasta Hansteens veg,6,,Blussuvoll,nei
8610,Aasta Hansteens veg,7,,Blussuvoll,nei
8610,Aasta Hansteens veg,7,A,Blussuvoll,nei
8610,Aasta Hansteens veg,7,B,Blussuvoll,nei
8610,Aasta Hansteens veg,8,,Blussuvoll,nei
8610,Aasta Hansteens veg,9,,Blussuvoll,nei
1001,Abels gate,,,Sentrum,ja
1002,Abelsborg gate,,,Sentrum,ja
1003,Ada Arnfinsens veg,,,Nidarvoll,ja
1005,Adolf Øiens veg,,,Nidarvoll,ja
1006,Aksel Nilsens veg,,,Nidarvoll,ja
1007,Albertine Wærness veg,,,Nidarvoll,ja
1009,Alette Beyers veg,,,Byåsen,ja
1011,Alexander Holsts veg,,,Falkenborg,ja
1012,Alexander Kiellands gate,,,Falkenborg,ja
1013,Alf Godagers veg,,,Romolslia,ja
1014,Alf Johansens vei,,,Rosten,ja
1015,Alfheimsvingen,,,Byåsen,ja
1018,Alfred Getz' vei,,,Sentrum,ja
1016,Alfred Hess's veg,,,Sentrum,ja
1017,Alfred Larsens gate,,,Nidarvoll,ja
1019,Alfred Trønsdals veg,,,Nidarvoll,ja
9318,Almannaunvegen,,,Falkenborg,ja
1021,Almevegen,,,Falkenborg,ja
1022,Alv Schiefloes veg,,,Falkenborg,ja
1026,Amalie Skrams veg,,,Falkenborg,ja
1023,Amalienborgvegen,,,Falkenborg,ja
1024,Amalienlyst,,,Falkenborg,ja
1027,Amtmannssvingen,,,Falkenborg,ja
1414,Amundsdalvegen,115,,Klæbu,nei
1414,Amundsdalvegen,182,,Klæbu,nei
1414,Amundsdalvegen,184,,Klæbu,nei
1414,Amundsdalvegen,186,,Klæbu,nei
1414,Amundsdalvegen,188,,Klæbu,nei
1414,Amundsdalvegen,207,,Klæbu,nei
1414,Amundsdalvegen,21,,Klæbu,nei
1414,Amundsdalvegen,210,,Klæbu,nei
1414,Amundsdalvegen,227,,Klæbu,nei
1414,Amundsdalvegen,229,,Klæbu,nei
1414,Amundsdalvegen,23,,Klæbu,nei
1414,Amundsdalvegen,230,,Klæbu,nei
1414,Amundsdalvegen,231,,Klæbu,nei
1414,Amundsdalvegen,232,,Klæbu,nei
1414,Amundsdalvegen,234,,Klæbu,nei
1414,Amundsdalvegen,236,,Klæbu,nei
1414,Amundsdalvegen,238,,Klæbu,nei
1414,Amundsdalvegen,240,,Klæbu,nei
1414,Amundsdalvegen,287,,Klæbu,nei
1414,Amundsdalvegen,288,,Klæbu,nei
1414,Amundsdalvegen,289,,Klæbu,nei
1414,Amundsdalvegen,290,,Klæbu,nei
1414,Amundsdalvegen,292,,Klæbu,nei
1414,Amundsdalvegen,301,,Klæbu,nei
1414,Amundsdalvegen,303,,Klæbu,nei
1414,Amundsdalvegen,305,,Klæbu,nei
1414,Amundsdalvegen,43,,Klæbu,nei
1414,Amundsdalvegen,45,,Klæbu,nei
1414,Amundsdalvegen,477,,Klæbu,nei
1414,Amundsdalvegen,479,,Klæbu,nei
1414,Amundsdalvegen,520,,Klæbu,nei
1414,Amundsdalvegen,522,,Klæbu,nei
1414,Amundsdalvegen,524,,Klæbu,nei
1414,Amundsdalvegen,61,,Klæbu,nei
1414,Amundsdalvegen,63,,Klæbu,nei
1414,Amundsdalvegen,630,,Nidarvoll,nei
1414,Amundsdalvegen,632,,Nidarvoll,nei
1414,Amundsdalvegen,65,,Klæbu,nei
1414,Amundsdalvegen,67,,Klæbu,nei
1414,Amundsdalvegen,69,,Klæbu,nei
1414,Amundsdalvegen,71,,Klæbu,nei
1414,Amundsdalvegen,715,,Nidarvoll,nei
1414,Amundsdalvegen,717,,Nidarvoll,nei
1414,Amundsdalvegen,73,,Klæbu,nei
1414,Amundsdalvegen,747,,Nidarvoll,nei
1414,Amundsdalvegen,749,,Nidarvoll,nei
1414,Amundsdalvegen,75,,Klæbu,nei
1414,Amundsdalvegen,767,,Nidarvoll,nei
1414,Amundsdalvegen,769,,Nidarvoll,nei
1414,Amundsdalvegen,77,,Klæbu,nei
1414,Amundsdalvegen,79,,Klæbu,nei
1414,Amundsdalvegen,790,,Nidarvoll,nei
1414,Amundsdalvegen,792,,Nidarvoll,nei
1414,Amundsdalvegen,794,,Nidarvoll,nei
1414,Amundsdalvegen,796,,Nidarvoll,nei
1414,Amundsdalvegen,800,,Nidarvoll,nei
1414,Amundsdalvegen,802,,Nidarvoll,nei
1414,Amundsdalvegen,805,,Nidarvoll,nei
1414,Amundsdalvegen,838,,Nidarvoll,nei
1414,Amundsdalvegen,840,,Nidarvoll,nei
1414,Amundsdalvegen,842,,Nidarvoll,nei
1414,Amundsdalvegen,846,,Nidarvoll,nei
1414,Amundsdalvegen,848,,Nidarvoll,nei
1414,Amundsdalvegen,87,,Klæbu,nei
1414,Amundsdalvegen,89,,Klæbu,nei
1414,Amundsdalvegen,90,,Klæbu,nei
1414,Amundsdalvegen,91,,Klæbu,nei
1414,Amundsdalvegen,92,,Klæbu,nei
1047,An-Magritts vei,,,Byåsen,ja
8660,Andbjørg Jamesons vei,,,Sentrum,ja
1028,Anders Buens gate,,,Falkenborg,ja
1029,Anders Estenstads veg,,,Blussuvoll,ja
1032,Anders Haarstads veg,,,Rosten,ja
1031,Anders Hovdens veg,,,Byåsen,ja
1033,Anders Liaklevs veg,,,Saupstad,ja
1034,Anders Reitans veg,,,Rosten,ja
1035,Anders Søyseths veg,,,Falkenborg,ja
1036,Anders Tvereggens veg,,,Nidarvoll,ja
1037,Anders Wigens veg,,,Byåsen,ja
8730,Andersbakkan,,,Saupstad,ja
1039,Andreas Claussens veg,,,Falkenborg,ja
1041,Andreas Holms vei,,,Sentrum,ja
1043,Angellhaugen,,,Blussuvoll,ja
8729,Angelltrøvegen,,,Blussuvoll,ja
1208,Ankers gate,,,Sentrum,ja
9444,Anna Haarsakers veg,,,Nidarvoll,ja
1046,Anne Ekrens veg,,,Saupstad,ja
9418,Anne Hogstads veg,,,Blussuvoll,ja
9335,Anne Martha Kvams veg,,,Nidarvoll,ja
6549,Anne-Kath. Parows veg,,,Saupstad,ja
1048,Anton Bergs veg,,,Saupstad,ja
1209,Anton Furuseths veg,,,Falkenborg,ja
1049,Anton Grevskotts veg,,,Nidarvoll,ja
3905,Anton Jenssens veg,,,Falkenborg,ja
1052,Anton Kalvaas gate,,,Falkenborg,ja
1051,Antonie Løchens vei,,,Byåsen,ja
9227,Apotekerbergan,,,Saupstad,ja
1053,Apotekerveita,,,Sentrum,ja
1054,Arilds gate,,,Sentrum,ja
1055,Arkitekt Christies gate,,,Sentrum,ja
1056,Arkitekt Ebbells veg,,,Falkenborg,ja
1057,Armauer Hansens veg,,,Blussuvoll,ja
1059,Arne Bergsgårds veg,,,Nidarvoll,ja
1061,Arne Fjellbus veg,,,Nidarvoll,ja
1062,Arne Garborgs veg,,,Byåsen,ja
1063,Arne Solbergs veg,,,Rosten,ja
1058,Arnebyvegen,,,Byåsen,ja
1064,Arnt Forseths vei,,,Rosten,ja
1068,Arnt Smistads veg,,,Byåsen,ja
1222,Arsenalvegen,,,Saupstad,ja
1069,Asalvegen,,,Falkenborg,ja
1071,Asbjørn Øverås veg,,,Nidarvoll,ja
1070,Asbjørnsens gate,10,,Sentrum,nei
1070,Asbjørnsens gate,11,,Sentrum,nei
1070,Asbjørnsens gate,12,,Sentrum,nei
1070,Asbjørnsens gate,13,,Sentrum,nei
1070,Asbjørnsens gate,15,,Sentrum,nei
1070,Asbjørnsens gate,17,,Sentrum,nei
1070,Asbjørnsens gate,19,,Sentrum,nei
1070,Asbjørnsens gate,21,,Sentrum,nei
1070,Asbjørnsens gate,23,,Sentrum,nei
1070,Asbjørnsens gate,24,,Sentrum,nei
1070,Asbjørnsens gate,25,,Sentrum,nei
1070,Asbjørnsens gate,25,A,Sentrum,nei
1070,Asbjørnsens gate,26,,Sentrum,nei
1070,Asbjørnsens gate,27,,Sentrum,nei
1070,Asbjørnsens gate,27,A,Sentrum,nei
1070,Asbjørnsens gate,28,,Sentrum,nei
1070,Asbjørnsens gate,29,,Sentrum,nei
1070,Asbjørnsens gate,3,,Sentrum,nei
1070,Asbjørnsens gate,3,B,Sentrum,nei
1070,Asbjørnsens gate,30,,Sentrum,nei
1070,Asbjørnsens gate,31,,Sentrum,nei
1070,Asbjørnsens gate,32,,Sentrum,nei
1070,Asbjørnsens gate,33,,Sentrum,nei
1070,Asbjørnsens gate,34,,Sentrum,nei
1070,Asbjørnsens gate,35,,Sentrum,nei
1070,Asbjørnsens gate,36,A,Sentrum,nei
1070,Asbjørnsens gate,36,B,Sentrum,nei
1070,Asbjørnsens gate,37,,Blussuvoll,nei
1070,Asbjørnsens gate,38,,Sentrum,nei
1070,Asbjørnsens gate,39,,Blussuvoll,nei
1070,Asbjørnsens gate,4,A,Sentrum,nei
1070,Asbjørnsens gate,4,B,Sentrum,nei
1070,Asbjørnsens gate,40,,Sentrum,nei
1070,Asbjørnsens gate,41,,Blussuvoll,nei
1070,Asbjørnsens gate,42,,Blussuvoll,nei
1070,Asbjørnsens gate,44,,Blussuvoll,nei
1070,Asbjørnsens gate,5,,Sentrum,nei
1070,Asbjørnsens gate,6,A,Sentrum,nei
1070,Asbjørnsens gate,6,B,Sentrum,nei
1070,Asbjørnsens gate,7,,Sentrum,nei
1070,Asbjørnsens gate,8,,Sentrum,nei
1070,Asbjørnsens gate,9,,Sentrum,nei
1072,Askeladdvegen,,,Falkenborg,ja
1074,Aslak Bolts gate,,,Falkenborg,ja
1075,Aspvegen,,,Falkenborg,ja
1076,Astri Aasens veg,,,Blussuvoll,ja
1077,Astronomvegen,,,Nidarvoll,ja
1078,Asylbakken,,,Falkenborg,ja
1079,Asylveita,,,Sentrum,ja
1081,Aunegrenda,,,Falkenborg,ja
1082,Aunevegen,,,Sentrum,ja
1083,Austflata,,,Blussuvoll,ja
8700,Baard Iversens veg,,,Nidarvoll,ja
1084,Baglervegen,,,Nidarvoll,ja
1085,Bakkaunvegen,,,Falkenborg,ja
1087,Bakkegata,,,Falkenborg,ja
1088,Bakkehellet,,,Nidarvoll,ja
1089,Balders veg,,,Nidarvoll,ja
1091,Baldershage,,,Falkenborg,ja
5905,Barlindvegen,,,Falkenborg,ja
1093,Bassengbakken,,,Falkenborg,ja
1094,Batterigata,,,Sentrum,ja
1095,Batteriveita,,,Sentrum,ja
1096,Bautavegen,,,Falkenborg,ja
1097,Beddingen,,,Falkenborg,ja
1098,Bekkasinvegen,,,Saupstad,ja
1099,Bekkefaret,,,Byåsen,ja
